State,County,Start_Lat,Start_Lng,count
AZ,Maricopa,33.38548,-111.9432,41386
AZ,Mohave,34.503003,-114.349404,716
AZ,Navajo,34.2688,-109.93511,356
AZ,Pima,32.265141,-110.90358700000002,13852
AZ,Pinal,33.043757,-111.987923,1295
AZ,Santa Cruz,31.48615,-111.003852,33
AZ,Yavapai,34.559639000000004,-111.904762,1452
AZ,Yuma,32.72116,-114.61323,249
CA,Alameda,37.884749,-122.308882,45201
CA,Alpine,38.52064,-119.90791000000002,151
CA,Amador,38.454845,-120.867759,1019
CA,Butte,39.665768,-121.743866,2070
CA,Calaveras,37.955921,-120.686691,1176
CA,Colusa,39.01001,-122.05225,593
CA,Contra Costa,37.994461,-122.069885,23451
CA,Del Norte,41.874885,-123.843283,482
CA,El Dorado,38.660194,-121.071808,3850
CA,Fresno,36.77562,-119.784837,11294
CA,Glenn,39.464142,-121.930092,523
CA,Humboldt,40.936253,-123.625681,1859
CA,Imperial,32.67934,-115.56076000000002,80
CA,Inyo,37.378513,-117.993469,383
CA,Kern,35.266849,-119.030632,13125
CA,Kings,36.211178,-119.762328,1501
CA,Lake,38.910248,-122.612272,1560
CA,Lassen,41.022481,-121.320104,651
CA,Los Angeles,34.034017,-118.026972,233648
CA,Madera,36.880207,-119.976631,2960
CA,Marin,37.846089,-122.48667,5954
CA,Mariposa,37.694764,-120.182822,503
CA,Mendocino,39.146052000000005,-123.196557,2328
CA,Merced,37.374148,-120.82232,4009
CA,Modoc,41.526468,-121.113833,179
CA,Mono,37.566347,-118.689384,549
CA,Monterey,36.577457,-121.908821,7097
CA,Napa,38.16735,-122.20279,3264
CA,Nevada,39.343011,-120.337151,2621
CA,Orange,33.774159000000004,-118.049783,46239
CA,Placer,38.79095,-121.29229,6572
CA,Plumas,40.152468,-120.954949,445
CA,Riverside,33.940923,-117.249238,38230
CA,Sacramento,38.510303,-121.464525,40772
CA,San Benito,36.950165000000005,-121.471695,1312
CA,San Bernardino,34.186595000000004,-117.439427,44762
CA,San Diego,32.805706,-117.156586,43423
CA,San Francisco,37.7855,-122.391823,8249
CA,San Joaquin,38.000336,-121.260314,13751
CA,San Luis Obispo,35.275479,-120.671105,3463
CA,San Mateo,37.620403,-122.425995,14408
CA,Santa Barbara,34.442143,-119.784885,4942
CA,Santa Clara,37.14573,-121.985052,33203
CA,Santa Cruz,36.974571000000005,-121.914177,5622
CA,Shasta,40.619857,-122.365844,2151
CA,Sierra,39.617117,-120.591355,142
CA,Siskiyou,41.634468,-122.438224,1084
CA,Solano,38.358604,-121.934029,9776
CA,Sonoma,38.22317,-122.61118,10367
CA,Stanislaus,37.328154,-121.111046,7087
CA,Sutter,39.301532,-121.671249,907
CA,Tehama,39.884773,-122.200233,1104
CA,Trinity,40.729171,-122.935918,491
CA,Tulare,36.239861,-119.42112,5007
CA,Tuolumne,37.959408,-120.236236,1319
CA,Ventura,34.257332,-118.853742,8305
CA,Yolo,38.684384,-121.72836,3989
CA,Yuba,39.125690000000006,-121.57576,1541
CO,Adams,39.890808,-104.835419,5597
CO,Alamosa,37.474659,-105.675491,4
CO,Arapahoe,39.59483,-104.802345,3474
CO,Archuleta,37.227732,-107.115206,8
CO,Baca,37.628463,-102.620383,43
CO,Bent,38.06501,-103.22125,25
CO,Boulder,39.960388,-105.222221,488
CO,Broomfield,39.98846,-104.98718999999998,394
CO,Chaffee,38.508539,-105.963528,112
CO,Cheyenne,39.04632,-102.27909,32
CO,Clear Creek,39.69437,-105.730156,488
CO,Conejos,37.260448,-105.964989,1
CO,Costilla,37.438441,-105.523205,13
CO,Crowley,38.191578,-103.857353,11
CO,Custer,38.101447,-105.457662,16
CO,Delta,38.708905,-108.045633,33
CO,Denver,39.632698,-104.906487,10089
CO,Dolores,37.801488,-108.995386,4
CO,Douglas,39.5652,-104.87226,2577
CO,Eagle,39.6444,-106.30777,395
CO,El Paso,38.84218,-104.81505,4703
CO,Elbert,39.2872,-103.78772,52
CO,Fremont,38.480021,-105.263671,165
