State,County,Start_Lat,Start_Lng,count,State_Name
AR,Nevada,33.861308,-93.353546,13,Arkansas
AR,Newton,35.885653999999995,-93.037165,4,Arkansas
AR,Ouachita,33.538292,-92.908462,21,Arkansas
AR,Perry,35.009503,-92.801689,8,Arkansas
AR,Phillips,34.60148,-91.0467,5,Arkansas
AR,Poinsett,35.519825,-90.41407,36,Arkansas
AR,Polk,34.283871000000005,-94.343236,7,Arkansas
AR,Pope,35.253206,-92.933188,48,Arkansas
AR,Prairie,34.819182,-91.56966,72,Arkansas
AR,Pulaski,34.745940000000004,-92.26283,1945,Arkansas
AR,Randolph,36.354401,-90.759186,11,Arkansas
AR,Saline,34.59996,-92.608076,197,Arkansas
AR,Scott,34.961143,-94.109625,19,Arkansas
AR,Searcy,35.952169,-92.731176,6,Arkansas
AR,Sebastian,35.393181,-94.397362,53,Arkansas
AR,Sevier,33.941701,-94.343237,12,Arkansas
AR,Sharp,36.132757,-91.608952,6,Arkansas
AR,St. Francis,35.037483,-90.771957,126,Arkansas
AR,Union,33.317413,-92.572077,18,Arkansas
AR,Van Buren,35.649476,-92.320522,6,Arkansas
AR,Washington,36.09381,-94.19004,167,Arkansas
AR,White,35.201407,-91.735421,56,Arkansas
AR,Yell,34.988027,-93.297883,30,Arkansas
AZ,Apache,35.190483,-109.436028,290,Arizona
AZ,Cochise,32.32626,-109.487068,202,Arizona
AZ,Coconino,35.258590000000005,-112.14472,958,Arizona
AZ,Gila,34.25581,-111.256042,459,Arizona
AZ,Graham,33.034135,-109.960035,69,Arizona
AZ,Greenlee,33.028960999999995,-109.298431,47,Arizona
AZ,La Paz,33.6025,-114.51433,343,Arizona
AZ,Maricopa,33.38548,-111.9432,41386,Arizona
AZ,Mohave,34.503003,-114.349404,716,Arizona
AZ,Navajo,34.2688,-109.93511,356,Arizona
AZ,Pima,32.265141,-110.90358700000002,13852,Arizona
AZ,Pinal,33.043757,-111.987923,1295,Arizona
AZ,Santa Cruz,31.48615,-111.003852,33,Arizona
AZ,Yavapai,34.559639000000004,-111.904762,1452,Arizona
AZ,Yuma,32.72116,-114.61323,249,Arizona
CA,Alameda,37.884749,-122.308882,45201,California
CA,Alpine,38.52064,-119.90791000000002,151,California
CA,Amador,38.454845,-120.867759,1019,California
CA,Butte,39.665768,-121.743866,2070,California
CA,Calaveras,37.955921,-120.686691,1176,California
CA,Colusa,39.01001,-122.05225,593,California
CA,Contra Costa,37.994461,-122.069885,23451,California
CA,Del Norte,41.874885,-123.843283,482,California
CA,El Dorado,38.660194,-121.071808,3850,California
CA,Fresno,36.77562,-119.784837,11294,California
CA,Glenn,39.464142,-121.930092,523,California
CA,Humboldt,40.936253,-123.625681,1859,California
CA,Imperial,32.67934,-115.56076000000002,80,California
CA,Inyo,37.378513,-117.993469,383,California
CA,Kern,35.266849,-119.030632,13125,California
CA,Kings,36.211178,-119.762328,1501,California
CA,Lake,38.910248,-122.612272,1560,California
CA,Lassen,41.022481,-121.320104,651,California
CA,Los Angeles,34.034017,-118.026972,233648,California
CA,Madera,36.880207,-119.976631,2960,California
CA,Marin,37.846089,-122.48667,5954,California
CA,Mariposa,37.694764,-120.182822,503,California
CA,Mendocino,39.146052000000005,-123.196557,2328,California
CA,Merced,37.374148,-120.82232,4009,California
CA,Modoc,41.526468,-121.113833,179,California
CA,Mono,37.566347,-118.689384,549,California
CA,Monterey,36.577457,-121.908821,7097,California
CA,Napa,38.16735,-122.20279,3264,California
CA,Nevada,39.343011,-120.337151,2621,California
CA,Orange,33.774159000000004,-118.049783,46239,California
CA,Placer,38.79095,-121.29229,6572,California
CA,Plumas,40.152468,-120.954949,445,California
CA,Riverside,33.940923,-117.249238,38230,California
CA,Sacramento,38.510303,-121.464525,40772,California
CA,San Benito,36.950165000000005,-121.471695,1312,California
CA,San Bernardino,34.186595000000004,-117.439427,44762,California
CA,San Diego,32.805706,-117.156586,43423,California
CA,San Francisco,37.7855,-122.391823,8249,California
CA,San Joaquin,38.000336,-121.260314,13751,California
CA,San Luis Obispo,35.275479,-120.671105,3463,California
CA,San Mateo,37.620403,-122.425995,14408,California
CA,Santa Barbara,34.442143,-119.784885,4942,California
CA,Santa Clara,37.14573,-121.985052,33203,California
CA,Santa Cruz,36.974571000000005,-121.914177,5622,California
CA,Shasta,40.619857,-122.365844,2151,California
CA,Sierra,39.617117,-120.591355,142,California
CA,Siskiyou,41.634468,-122.438224,1084,California
CA,Solano,38.358604,-121.934029,9776,California
CA,Sonoma,38.22317,-122.61118,10367,California
CA,Stanislaus,37.328154,-121.111046,7087,California
CA,Sutter,39.301532,-121.671249,907,California
CA,Tehama,39.884773,-122.200233,1104,California
CA,Trinity,40.729171,-122.935918,491,California
CA,Tulare,36.239861,-119.42112,5007,California
CA,Tuolumne,37.959408,-120.236236,1319,California
CA,Ventura,34.257332,-118.853742,8305,California
CA,Yolo,38.684384,-121.72836,3989,California
CA,Yuba,39.125690000000006,-121.57576,1541,California
CO,Adams,39.890808,-104.835419,5597,Colorado
CO,Alamosa,37.474659,-105.675491,4,Colorado
CO,Arapahoe,39.59483,-104.802345,3474,Colorado
CO,Archuleta,37.227732,-107.115206,8,Colorado
CO,Baca,37.628463,-102.620383,43,Colorado
CO,Bent,38.06501,-103.22125,25,Colorado
CO,Boulder,39.960388,-105.222221,488,Colorado
CO,Broomfield,39.98846,-104.98718999999998,394,Colorado
CO,Chaffee,38.508539,-105.963528,112,Colorado
CO,Cheyenne,39.04632,-102.27909,32,Colorado
CO,Clear Creek,39.69437,-105.730156,488,Colorado
CO,Conejos,37.260448,-105.964989,1,Colorado
CO,Costilla,37.438441,-105.523205,13,Colorado
CO,Crowley,38.191578,-103.857353,11,Colorado
CO,Custer,38.101447,-105.457662,16,Colorado
CO,Delta,38.708905,-108.045633,33,Colorado
CO,Denver,39.632698,-104.906487,10089,Colorado
CO,Dolores,37.801488,-108.995386,4,Colorado
CO,Douglas,39.5652,-104.87226,2577,Colorado
CO,Eagle,39.6444,-106.30777,395,Colorado
CO,El Paso,38.84218,-104.81505,4703,Colorado
CO,Elbert,39.2872,-103.78772,52,Colorado
CO,Fremont,38.480021,-105.263671,165,Colorado
CO,Garfield,39.52397,-107.777,291,Colorado
CO,Gilpin,39.763662,-105.44479,45,Colorado
CO,Grand,40.041322,-106.373183,74,Colorado
CO,Gunnison,38.392093,-107.48476,83,Colorado
CO,Hinsdale,38.001325,-107.292451,6,Colorado
CO,Huerfano,37.743431,-104.831761,155,Colorado
CO,Jackson,40.38001,-106.57953,35,Colorado
CO,Jefferson,39.78436,-105.08863999999998,3256,Colorado
CO,Kiowa,38.47787,-102.78661,17,Colorado
CO,Kit Carson,39.276556,-102.972353,28,Colorado
CO,La Plata,37.452244,-107.805031,23,Colorado
CO,Lake,39.26523,-106.29028999999998,43,Colorado
CO,Larimer,40.476249,-104.99205,1029,Colorado
CO,Las Animas,37.13421,-104.521453,159,Colorado
CO,Lincoln,39.282887,-103.267601,51,Colorado
CO,Logan,40.665142,-102.778893,36,Colorado
CO,Mesa,38.788621,-108.668786,165,Colorado
CO,Mineral,37.602813,-106.726282,24,Colorado
CO,Moffat,40.33496,-107.68781,18,Colorado
CO,Montezuma,37.44338,-108.647047,34,Colorado
CO,Montrose,38.543426,-107.943814,24,Colorado
CO,Morgan,40.242947,-103.92424,108,Colorado
CO,Otero,37.991836,-103.570162,79,Colorado
CO,Ouray,38.016924,-107.66794099999998,24,Colorado
CO,Park,39.039955,-105.526529,240,Colorado
CO,Phillips,40.63796,-102.62783,9,Colorado
CO,Pitkin,39.130320000000005,-107.281647,17,Colorado
CO,Prowers,37.701676,-102.609195,46,Colorado
CO,Pueblo,38.304326,-104.66352,705,Colorado
CO,Rio Blanco,40.077969,-108.776767,37,Colorado
CO,Rio Grande,37.588431,-106.199392,22,Colorado
CO,Routt,40.47593,-107.13561,26,Colorado
CO,Saguache,38.16203,-106.32169,33,Colorado
CO,San Juan,37.658919,-107.809632,4,Colorado
CO,San Miguel,38.028906,-108.900873,16,Colorado
CO,Sedgwick,40.96547,-102.25012,10,Colorado
CO,Summit,39.516853000000005,-106.207967,325,Colorado
CO,Teller,38.762108000000005,-105.15918700000002,63,Colorado
CO,Washington,40.244792,-103.470894,33,Colorado
CO,Weld,40.025607,-104.817748,1140,Colorado
CO,Yuma,40.075218,-102.28479,23,Colorado
CT,Fairfield,41.177315,-73.17304200000001,6722,Connecticut
CT,Hartford,41.755451,-72.650444,7990,Connecticut
CT,Litchfield,41.588699,-73.058388,460,Connecticut
CT,Middlesex,41.624386,-72.69390899999999,1000,Connecticut
CT,New Haven,41.27264,-72.970589,5604,Connecticut
CT,New London,41.364331,-72.06565,1233,Connecticut
CT,Tolland,41.91882,-72.2633,620,Connecticut
CT,Windham,41.8919,-71.86791,425,Connecticut
DC,District Of Columbia,38.925533,-77.052673,224,District Of Columbia
DC,District of Columbia,38.918324,-76.95503199999999,4977,District Of Columbia
DE,Kent,38.9832,-75.567063,323,Delaware
DE,New Castle,39.744122,-75.562294,4033,Delaware
DE,Sussex,38.78779,-75.31881,269,Delaware
FL,Alachua,29.843294,-82.530411,1618,Florida
FL,Baker,30.26118,-82.10818,446,Florida
FL,Bay,30.435648,-85.42733,919,Florida
FL,Bradford,29.89135,-82.336372,109,Florida
FL,Brevard,28.285931,-80.608664,4201,Florida
FL,Broward,26.102942,-80.265091,21652,Florida
FL,Calhoun,30.436728,-85.22255200000001,54,Florida
FL,Charlotte,26.858271,-81.987617,804,Florida
FL,Citrus,28.698406,-82.451477,524,Florida
FL,Clay,30.18701,-81.73946,1159,Florida
FL,Collier,26.286778,-81.801789,1328,Florida
FL,Columbia,30.093796,-82.651772,1035,Florida
FL,De Soto,27.19326,-82.12234000000001,24,Florida
FL,DeSoto,27.219422,-81.871886,85,Florida
FL,Dixie,29.44408,-83.286888,43,Florida
FL,Duval,30.334675,-81.670998,15950,Florida
FL,Escambia,30.524999,-87.313345,4692,Florida
FL,Flagler,29.603143,-81.250129,387,Florida
FL,Franklin,29.927927,-84.46588299999999,13,Florida
FL,Gadsden,30.53704,-84.5901,642,Florida
FL,Gilchrist,29.613371,-82.818359,71,Florida
FL,Glades,26.833633000000003,-81.186874,71,Florida
FL,Gulf,29.80957,-85.30249,31,Florida
FL,Hamilton,30.44816,-82.932343,328,Florida
FL,Hardee,27.59492,-81.82249,241,Florida
FL,Hendry,26.76177,-81.43841,173,Florida
FL,Hernando,28.450769,-82.557404,2353,Florida
FL,Highlands,27.617451000000003,-81.538238,542,Florida
FL,Hillsborough,28.021709,-82.203583,18475,Florida
