ID,Severity,Start_Lat,Start_Lng,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
A-3891808,2,41.24428,-111.97827,Ogden,Weber,UT,48,,33,30.33,10,,
A-706633,2,30.23296,-92.012779,Lafayette,Lafayette,LA,78,78,90,29.98,10,0,0
A-2961231,4,40.448977,-79.187276,Blairsville,Indiana,PA,37,29,45,28.82,10,14,0
A-1011939,2,40.742111,-73.210999,Islip,Suffolk,NY,31,23,96,30.18,1,8,0.01
A-3054189,2,30.221048,-97.772924,Austin,Travis,TX,58,58,36,29.29,10,5,0
A-2354272,2,33.724998,-117.292824,Perris,Riverside,CA,67.5,,49,30.15,10,3.5,
A-868244,3,40.640388,-75.27523,Hellertown,Northampton,PA,47,44,83,29.29,4,7,0.07
A-2515297,2,44.86203,-93.459877,Eden Prairie,Hennepin,MN,42.1,35.7,34,30.18,10,11.5,
A-2401394,3,36.092239,-80.268959,Winston Salem,Forsyth,NC,48.9,,56,30.24,10,8.1,
A-3701173,2,33.084274,-117.298304,Encinitas,San Diego,CA,57,57,93,29.62,3,0,0
A-78121,3,34.212063,-118.348564,Sun Valley,Los Angeles,CA,84,,29,29.91,10,11.5,
A-3689289,2,38.247785,-122.629727,Petaluma,Sonoma,CA,48,46,82,29.79,10,6,0
A-1515698,2,37.411816,-122.07811,Mountain View,Santa Clara,CA,54,,72,29.96,10,13.8,
A-3729130,2,33.75003,-117.1892,Menifee,Riverside,CA,67,67,33,28.44,10,0,0
A-1708473,3,29.79026,-95.372284,Houston,Harris,TX,50,,100,30.11,0.2,,
A-1424194,3,32.923492,-96.779709,Dallas,Dallas,TX,88,88,52,29.29,10,17,0
A-2358809,3,27.044147,-80.234421,Hobe Sound,Martin,FL,62.6,,100,30.06,,,
A-464524,2,34.492104,-118.28344,Acton,Los Angeles,CA,93.9,,14,29.91,10,13.8,
A-2042288,3,38.705097,-90.339996,Saint Louis,St. Louis County,MO,75.9,,87,29.77,8,25.3,0.06
A-4060480,2,34.11034,-118.26266,Los Angeles,Los Angeles,CA,66.9,,57,30.01,10,,
A-1753727,2,36.685509,-82.753281,Duffield,Scott,VA,41,41,100,28.56,2,3,0.15
A-3367539,2,37.5663,-122.041293,Fremont,Alameda,CA,46,46,50,30.17,10,0,0
A-367485,2,43.031414,-83.773506,Flint,Genesee,MI,60.1,,75,29.92,10,12.7,
A-1092941,2,38.991386,-77.157532,Bethesda,Montgomery,MD,64,64,96,29.94,2,7,0.09
A-4027535,2,33.802574,-79.007814,Conway,Horry,SC,86,,74,29.99,5,4.6,
A-59064,2,33.940041,-118.304703,Los Angeles,Los Angeles,CA,46.9,,63,30.17,10,,
A-1296480,2,40.156921,-83.018501,Lewis Center,Delaware,OH,86,86,43,28.97,10,15,0
A-3336955,2,40.847934,-73.935634,New York,New York,NY,74,74,97,30.02,10,0,0
A-1114337,2,34.274967,-118.493423,Granada Hills,Los Angeles,CA,63,63,25,29.14,10,0,0
A-2801253,2,40.765802,-74.068307,Secaucus,Hudson,NJ,90,,50,29.78,10,9.2,
A-2742666,2,38.88753,-94.79028,Olathe,Johnson,KS,97,,47,29.83,10,16.1,
A-1798186,3,41.045704,-73.769485,White Plains,Westchester,NY,63,,90,30.08,10,5.8,
A-3188512,2,28.916961,-81.270008,Orange City,Volusia,FL,75,75,95,29.98,10,6,0
A-1846917,3,28.301212,-80.755196,Rockledge,Brevard,FL,74.7,,100,29.96,10,11.5,0.03
A-1719579,4,30.244001,-97.735657,Austin,Travis,TX,64.9,,93,29.89,2.5,11.5,0.04
A-1314014,2,36.118832,-95.935799,Tulsa,Tulsa,OK,96,96,49,29.18,10,5,0
A-2551126,2,25.556574,-80.372093,Miami,Miami-Dade,FL,76.3,,99,29.95,10,,
A-3266381,2,33.934332,-118.176895,South Gate,Los Angeles,CA,66,66,84,29.81,6,0,0
A-3002698,2,29.974094,-90.071548,New Orleans,Orleans,LA,62,62,46,30.37,10,9,0
A-1495579,3,34.016396,-117.55011,Mira Loma,Riverside,CA,53,53,100,29.12,0,3,0
A-1026465,3,29.732594,-95.381676,Houston,Harris,TX,53,53,43,30.2,10,22,0
A-2014582,2,36.169056,-86.772202,Nashville,Davidson,TN,77,,64,30.03,10,8.1,
A-1976786,3,27.972969,-82.453392,Tampa,Hillsborough,FL,,,,30.13,,9.2,0.05
A-784229,3,25.89917,-80.210114,North Miami,Miami-Dade,FL,79,79,88,29.97,10,6,0
A-2313033,3,44.861217,-93.318924,Minneapolis,Hennepin,MN,28.9,18.6,67,30.16,10,12.7,
A-3461051,2,37.719157,-122.448254,San Francisco,San Francisco,CA,82,82,33,29.94,10,21,0
A-1516936,2,30.261169,-97.736343,Austin,Travis,TX,60.1,,57,30.09,10,5.8,
A-54570,3,33.786015,-118.093086,Long Beach,Los Angeles,CA,63,,60,30.11,10,3.5,
A-3988902,2,41.95184,-87.72775,Chicago,Cook,IL,53.1,,59,29.86,10,4.6,
A-2598029,3,41.817032,-71.398689,Providence,Providence,RI,75.9,,42,30.04,10,11.5,
A-4185867,4,34.08325,-118.2203,Los Angeles,Los Angeles,CA,65,65,68,29.68,10,0,0
A-219600,3,40.713676,-74.276222,Vauxhall,Union,NJ,75.9,,85,30,10,6.9,0
A-2722618,2,34.794005,-118.843248,Lebec,Los Angeles,CA,66,,22,30.1,10,19.6,
A-759925,2,45.706612,-122.680031,Vancouver,Clark,WA,52,,74,30.18,10,,0
A-2331841,2,41.890114,-87.647598,Chicago,Cook,IL,34,24.6,75,30.57,10,13.8,
A-932562,2,42.232208,-121.774277,Klamath Falls,Klamath,OR,30,20,54,25.96,10,14,0
A-3625920,2,37.776622,-122.235948,Oakland,Alameda,CA,62,62,53,30.05,10,15,0
A-32831,3,37.777027,-121.975304,San Ramon,Contra Costa,CA,50,,86,30.17,10,3.5,
A-570084,2,34.289612,-82.207962,Hodges,Greenwood,SC,57,57,64,29.56,10,8,0
A-2619209,2,37.142059,-93.255867,Springfield,Greene,MO,71.1,,84,29.93,10,4.6,
A-3244362,2,33.694978,-84.404473,Atlanta,Fulton,GA,45,39,58,29.11,10,13,0
A-458240,3,34.071808,-118.122864,Alhambra,Los Angeles,CA,82.4,,42,29.81,9,9.2,
