ID,Severity,Start_Lat,Start_Lng,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
A-1214973,3,44.859291,-93.394936,Minneapolis,Hennepin,MN,59,59,69,29.07,10,7,0
A-2589631,2,39.028709,-77.389786,Sterling,Loudoun,VA,86,,55,29.75,10,15,
A-275695,3,30.141642,-97.795326,Austin,Travis,TX,71.1,,100,29.97,0.2,5.8,
A-2292296,3,45.510269,-92.993301,North Branch,Chisago,MN,12.2,-0.2,82,29.82,0.8,9.2,
A-2570617,2,35.249458,-80.835838,Charlotte,Mecklenburg,NC,63,,34,29.8,10,6.9,
A-3822592,2,34.030719,-118.194162,Los Angeles,Los Angeles,CA,62,62,70,29.73,10,0,0
A-4157244,2,45.06653,-93.16941,Saint Paul,Ramsey,MN,62.6,,100,29.83,7,4.6,
A-2072250,2,36.142136,-86.775764,Nashville,Davidson,TN,75,,79,30.14,10,4.6,
A-741988,2,34.597313,-80.897797,Great Falls,Chester,SC,86,86,66,29.59,10,0,0
A-3116890,2,42.155088,-121.799594,Klamath Falls,Klamath,OR,24,24,91,26.1,10,3,0
A-2261387,3,32.792976,-96.727493,Dallas,Dallas,TX,64,,31,30.01,10,12.7,
A-906505,2,42.574749,-71.24115,Billerica,Middlesex,MA,6,6,67,30.23,10,0,0
A-86614,2,33.847889,-117.856117,Anaheim,Orange,CA,70,,76,29.86,10,,
A-1235059,3,47.531815,-122.197578,Renton,King,WA,58,58,93,29.99,9,3,0
A-2988827,2,36.268326,-86.756131,Nashville,Davidson,TN,46,46,68,29.48,10,3,0.01
A-1533259,3,30.407507,-91.101532,Baton Rouge,East Baton Rouge,LA,50,,52,30.26,10,5.8,
A-3280223,2,34.035759,-118.169887,Los Angeles,Los Angeles,CA,52,52,71,29.94,10,0,0
A-2720120,2,37.70186,-121.90237,Dublin,Alameda,CA,86,,20,29.89,10,8.1,
A-3465806,2,38.01966,-121.95033,Pittsburg,Contra Costa,CA,65,65,73,29.74,10,7,0
A-738965,2,35.063679,-80.975456,Fort Mill,York,SC,80,80,79,29.47,10,3,0
A-2681066,2,40.679947,-74.27816,Kenilworth,Union,NJ,73.6,,88,29.9,10,,
A-2383149,2,32.705917,-96.814598,Dallas,Dallas,TX,70,,15,29.99,10,25.3,
A-3928538,4,43.857101,-103.437123,Keystone,Pennington,SD,27,21.6,92,29.72,2,4.6,
A-580936,3,38.404922,-121.912483,Vacaville,Solano,CA,49,49,71,29.62,10,3,0
A-3730986,4,43.92019,-90.25944,Camp Douglas,Juneau,WI,21,9,86,29.1,10,13,0
A-338451,3,37.6866,-122.13221,San Leandro,Alameda,CA,46.9,,59,30.24,10,,
A-370825,2,40.76358,-73.586777,Westbury,Nassau,NY,33.1,24.4,46,29.62,10,11.5,
A-752650,2,38.664459,-121.214699,Orangevale,Sacramento,CA,100,100,18,29.67,10,8,
A-3733548,2,44.97068,-93.34073,Minneapolis,Hennepin,MN,14,2,41,29.75,10,9,0
A-2183490,2,32.257568,-110.943832,Tucson,Pima,AZ,72.9,,13,29.89,10,6.9,
A-4053366,2,40.273927,-111.717556,Orem,Utah,UT,48.9,,90,29.91,10,6.9,0.03
A-758456,3,30.004892,-90.025589,New Orleans,Orleans,LA,85,85,53,30.05,10,5,0
A-3287814,2,36.794146,-119.783817,Fresno,Fresno,CA,58,58,62,29.44,5,3,0
A-3000811,2,34.035415,-81.011917,Columbia,Richland,SC,45,43,71,30.26,10,5,0
A-446704,3,42.625214,-71.177841,Andover,Essex,MA,59,,53,30,10,12.7,
A-64183,2,34.159821,-118.469612,Sherman Oaks,Los Angeles,CA,51.1,,96,29.56,3,15,0.1
A-2195580,2,39.529896,-119.81424,Reno,Washoe,NV,34,27.2,64,30.12,10,8.1,
A-36942,3,37.76722,-121.334106,Tracy,San Joaquin,CA,62.1,,67,30.01,10,5.8,
A-1365142,2,39.751221,-105.000038,Denver,Denver,CO,59,59,67,24.4,10,8,0
A-3660741,2,34.08722,-117.66267,Ontario,San Bernardino,CA,97,97,14,28.86,10,7,0
A-543054,2,40.94165,-72.987953,Miller Place,Suffolk,NY,31,31,67,29.63,10,0,0
A-2597716,2,37.452118,-122.126907,Palo Alto,Santa Clara,CA,69.8,,73,29.9,10,13.8,
A-2205942,2,39.751427,-86.140068,Indianapolis,Marion,IN,51.1,,44,30.08,10,12.7,
A-3450065,3,40.79402,-73.93155,New York,New York,NY,71,,84,30.01,9,,0
A-665243,2,25.4342,-80.474358,Homestead,Miami-Dade,FL,81,81,85,30.01,10,7,0
A-24717,2,37.145508,-121.98497,Los Gatos,Santa Clara,CA,70,,65,29.83,10,12.7,
A-34037,3,38.064617,-122.164604,Benicia,Solano,CA,55,,77,29.99,10,5.8,
A-2730666,2,38.74444,-90.41411,Bridgeton,St. Louis County,MO,30.9,20.2,85,29.7,4,15,0
A-934479,3,34.782204,-98.304062,Elgin,Comanche,OK,28,17,99,28.73,4,13,0.05
A-1287899,2,33.91642,-118.278358,Los Angeles,Los Angeles,CA,70,70,76,29.91,8,6,0
A-2422849,2,37.505127,-77.504562,Richmond,Richmond City,VA,,,,,,,
A-1542265,2,33.509544,-112.094704,Phoenix,Maricopa,AZ,80.1,,14,30.03,10,,
A-3747818,2,40.70389,-111.98002,West Valley City,Salt Lake,UT,32,32,75,26.09,10,0,0
A-1143668,2,39.618809,-104.773201,Aurora,Arapahoe,CO,27,27,96,24.17,1,0,0.03
A-1025205,3,28.418852,-82.29248,Dade City,Pasco,FL,73,73,100,29.86,5,8,0
A-2822294,2,42.8348,-73.73955,Halfmoon,Saratoga,NY,41,35.2,93,29.74,10,9.2,
A-1365644,3,34.200966,-118.473183,Van Nuys,Los Angeles,CA,70,70,61,29.07,10,9,0
A-1603223,3,29.917864,-81.412155,Saint Augustine,St. Johns,FL,68,,93,30.13,10,9.2,
A-1968223,2,32.440861,-80.688431,Beaufort,Beaufort,SC,77,,84,29.99,10,8.1,
A-158053,3,33.7369,-84.391853,Atlanta,Fulton,GA,79,,62,30.07,10,9.2,
A-1315926,3,35.011566,-81.912292,Spartanburg,Spartanburg,SC,86,86,58,29.03,10,0,0
A-4206858,4,45.9932,-122.527022,Ariel,Cowlitz,WA,82,82,31,29.98,10,8,0
A-3705702,3,32.80325,-96.66955,Mesquite,Dallas,TX,39,31,93,29.61,10,14,0
A-436362,1,47.620098,-122.348495,Seattle,King,WA,48.9,,83,29.9,10,13.8,
A-3801688,2,38.224489,-122.126528,Fairfield,Solano,CA,71,71,36,29.79,10,5,0
A-1361368,3,40.435699,-79.99987,Pittsburgh,Allegheny,PA,67,67,93,28.62,2,12,0
A-1003603,2,34.711208,-87.667664,Tuscumbia,Colbert,AL,55,55,74,29.61,10,5,0
A-1759733,2,37.548992,-77.443008,Richmond,Richmond City,VA,39.9,36.7,58,30.51,10,4.6,
A-274114,3,29.780581,-95.454178,Houston,Harris,TX,80.6,,45,30.16,10,8.1,
A-339168,2,39.55838,-120.826149,Downieville,Sierra,CA,21.9,9.2,96,29.72,1.2,13.8,0
A-2241083,3,47.795017,-122.214256,Bothell,Snohomish,WA,50,,46,30.07,10,4.6,
A-2861232,3,32.83863,-97.18849,Hurst,Tarrant,TX,,,,,,,
A-1567930,3,34.202511,-118.472359,Van Nuys,Los Angeles,CA,51.1,,89,29.8,10,6.9,0
A-3023638,2,33.29191,-111.898466,Chandler,Maricopa,AZ,73,73,31,28.51,10,8,
A-289342,2,29.758238,-95.365227,Houston,Harris,TX,84.2,,62,29.85,10,12.7,
A-1214970,2,44.771755,-93.378883,Savage,Scott,MN,59,59,69,29.06,10,10,0
A-2683074,3,45.638599,-122.662041,Vancouver,Clark,WA,54,,90,29.91,10,,
A-3335647,2,39.9388,-76.619213,Red Lion,York,PA,36,28,55,29.4,10,12,0
A-2913857,2,33.98272,-118.05968,Whittier,Los Angeles,CA,62.6,,37,30.09,10,,
A-3042953,2,30.473149,-91.168359,Baton Rouge,East Baton Rouge,LA,44,44,89,30.27,10,0,0
A-3608613,2,35.82912,-78.58531,Raleigh,Wake,NC,76,76,23,29.51,10,13,0
A-309737,2,47.715408,-117.449051,Spokane,Spokane,WA,46,41.9,71,29.8,10,8.1,
A-134469,2,26.098553,-80.250793,Fort Lauderdale,Broward,FL,86,,55,30.01,10,17.3,
A-1582515,2,34.01717,-117.817047,Diamond Bar,Los Angeles,CA,53.6,,30,30.15,10,5.8,
A-2220680,2,34.258209,-117.291298,Crestline,San Bernardino,CA,64.4,,49,30,5,,
A-874125,3,33.387276,-117.174858,Fallbrook,San Diego,CA,70,70,49,29.98,10,7,0
A-2720871,2,37.70078,-122.02652,Castro Valley,Alameda,CA,66,,60,29.87,10,6.9,
A-753256,2,33.801682,-79.143051,Conway,Horry,SC,72,72,100,29.88,1,14,0.36
A-2484020,3,33.69582,-117.935143,Fountain Valley,Orange,CA,64,,75,29.98,10,3.5,
A-2318815,2,47.649269,-122.304649,Seattle,King,WA,43,39.5,82,30.46,9,5.8,0
A-1157393,3,41.512058,-74.069862,Newburgh,Orange,NY,64,64,68,29.74,7,6,0
A-775180,2,29.59214,-95.18026,Webster,Harris,TX,84,84,74,29.83,10,9,
A-1133277,2,39.509167,-75.726807,Middletown,New Castle,DE,49,49,64,29.74,7,0,0
A-3073831,2,40.903161,-74.092472,Saddle Brook,Bergen,NJ,61,61,70,30.18,10,13,0
A-3744821,2,28.46525,-81.39698,Orlando,Orange,FL,78,78,74,29.95,10,14,0
A-3143028,2,28.013859,-82.736781,Clearwater,Pinellas,FL,61,61,87,29.98,10,6,0
A-2531404,2,37.968605,-122.365227,Richmond,Contra Costa,CA,64.9,,39,30.01,10,,
A-1229578,2,29.3664,-98.460098,San Antonio,Bexar,TX,88,88,55,29.39,10,10,0
A-1547559,2,39.364407,-77.503769,Frederick,Frederick,MD,62.6,,32,30.25,10,,
A-2600150,3,35.966309,-86.807549,Brentwood,Williamson,TN,51.1,,96,30.24,10,,
A-963002,2,33.479759,-80.904503,Orangeburg,Orangeburg,SC,43,38,86,30.08,5,8,0
A-252382,2,40.238571,-75.229927,North Wales,Montgomery,PA,82.4,,70,30.11,10,4.6,
A-1410219,3,32.834282,-96.61026,Mesquite,Dallas,TX,75,75,65,29.56,10,12,0
A-3348800,2,34.424951,-118.423997,Canyon Country,Los Angeles,CA,55,55,67,29.2,10,0,0
A-1391011,2,34.422161,-118.584541,Valencia,Los Angeles,CA,67,67,51,29.04,10,8,0
A-1134330,3,44.967758,-93.269676,Minneapolis,Hennepin,MN,42,42,85,28.97,10,0,0
A-2005518,2,37.551903,-122.512154,Moss Beach,San Mateo,CA,62.6,,77,29.99,10,9.2,
A-2238109,2,40.005306,-75.705963,Downingtown,Chester,PA,32,22,64,29.1,10,14,0
A-3953797,2,43.21603,-71.53399,Concord,Merrimack,NH,28,17,39,30.61,10,13.8,
A-3003515,2,36.903002,-76.239305,Norfolk,Norfolk,VA,71,71,90,29.96,6,8,0
A-1885338,3,41.065388,-81.434242,Akron,Summit,OH,68,,88,30.21,1,3.5,
A-3888480,2,45.6128,-122.67823,Portland,Multnomah,OR,46,44.8,58,30.02,10,3.5,
A-398253,2,37.332733,-121.897018,San Jose,Santa Clara,CA,53.1,,64,30.15,10,13.8,
A-1726806,3,32.950542,-96.735016,Richardson,Dallas,TX,53.6,,54,29.95,13,4.6,
A-2161551,3,40.72538,-111.904182,Salt Lake City,Salt Lake,UT,69.1,,20,29.94,10,3.5,
A-3010984,2,36.774061,-119.840723,Fresno,Fresno,CA,49,46,93,29.81,1,7,0
A-3556678,2,39.02073,-122.70131,Clearlake Oaks,Lake,CA,67,67,44,29.32,10,18,0
A-2343691,3,38.485023,-121.51239,Sacramento,Sacramento,CA,39,,100,30.23,5,,
A-3578488,2,34.035138,-118.369517,Los Angeles,Los Angeles,CA,54,54,93,29.75,7,0,0.01
A-379583,3,39.022114,-76.949829,Hyattsville,Prince George's,MD,28.4,,80,30.38,10,,
A-2695194,2,29.581442,-95.155807,Houston,Harris,TX,89.6,,59,30.04,10,5.8,
A-3274120,2,37.711485,-122.45562,San Francisco,San Francisco,CA,53,53,83,30.18,9,10,0
A-771440,2,38.11401,-102.851112,Mc Clave,Bent,CO,,,,,,,
A-1282352,2,35.282513,-80.724091,Charlotte,Mecklenburg,NC,84,84,66,29.33,10,0,0
A-3782287,2,43.0542,-76.11866,Syracuse,Onondaga,NY,20,5,68,29.48,5,18,0
A-2386361,3,34.068329,-117.574203,Ontario,San Bernardino,CA,42.1,,55,30.14,10,,
A-2901070,2,42.29574,-85.705351,Kalamazoo,Kalamazoo,MI,34,22.4,92,29.55,3,20.7,0.01
A-1307904,3,32.195446,-86.417397,Letohatchee,Lowndes,AL,74,74,93,29.7,10,3,0
A-570496,3,33.200027,-117.371941,Oceanside,San Diego,CA,54,54,86,30.1,10,6,0
A-3359354,2,33.951277,-118.250094,Los Angeles,Los Angeles,CA,59,59,39,30.09,10,0,0
A-2800782,2,35.21759,-80.83407,Charlotte,Mecklenburg,NC,93,,37,30.15,10,4.6,
A-899515,3,35.776966,-78.558968,Raleigh,Wake,NC,61,61,93,29.62,10,5,0
A-3098517,2,29.027862,-81.331058,Deland,Volusia,FL,50,50,95,30.15,10,6,0
A-2277378,2,34.966671,-81.932594,Spartanburg,Spartanburg,SC,71.6,,50,30.07,10,9.2,
A-3863432,4,37.93264,-122.06036,Walnut Creek,Contra Costa,CA,65,65,73,29.87,10,15,0
A-2891151,2,34.02006,-118.19021,Los Angeles,Los Angeles,CA,62.1,,72,29.94,10,4.6,
A-4019455,3,29.398879,-98.530932,San Antonio,Bexar,TX,100.4,,29,29.88,10,12.7,
A-3964102,3,26.71496,-81.81362,North Fort Myers,Lee,FL,78.1,,84,30.07,10,6.9,
A-732160,2,30.164495,-81.747559,Orange Park,Clay,FL,79,79,90,29.92,10,8,0
A-72606,2,34.153309,-118.361412,Toluca Lake,Los Angeles,CA,69.1,,54,29.79,7,9.2,
A-3574061,2,33.911367,-118.174234,Paramount,Los Angeles,CA,64,64,87,29.92,10,13,0.02
A-3686014,2,38.270549,-122.051892,Fairfield,Solano,CA,54,54,53,30.12,10,8,0
A-217151,3,40.854351,-73.964958,Fort Lee,Bergen,NJ,80.1,,47,29.8,10,4.6,
A-1163154,2,33.051788,-80.476517,Cottageville,Colleton,SC,90,90,52,29.85,10,5,0
A-761453,2,42.960144,-85.673164,Grand Rapids,Kent,MI,50,50,74,28.75,10,20,0
A-3138965,2,39.233239,-76.620637,Brooklyn,Anne Arundel,MD,,,,,,,
A-3626694,2,34.040019,-118.287606,Los Angeles,Los Angeles,CA,57,57,83,29.68,1,6,0.17
A-3875102,2,38.069167,-122.226667,Vallejo,Solano,CA,72,72,53,29.88,10,10,0
A-4237409,2,40.0382,-74.91644,Beverly,Burlington,NJ,88,88,53,29.95,10,5,0
A-1683659,2,39.93272,-84.87809,Fountain City,Wayne,IN,28.4,20.4,100,30.1,10,8.1,
A-3841840,2,42.36544,-83.1334,Detroit,Wayne,MI,23,15,53,29.63,10,7,0
A-4113368,2,38.70824,-77.22294,Lorton,Fairfax County,VA,44.2,41,39,30.22,10,5.8,
A-3559005,1,45.58834,-122.75149,Portland,Multnomah,OR,73,73,39,30.22,10,9,0
A-1810999,2,35.01535,-81.959961,Boiling Springs,Spartanburg,SC,77,,69,30.13,10,5.8,
A-746082,2,41.539154,-73.771378,Hopewell Junction,Dutchess,NY,72,72,91,29.44,10,5,0
A-3035456,2,36.765982,-76.264553,Chesapeake,Chesapeake,VA,34,34,93,30.32,10,0,0
A-1352202,2,45.407902,-122.537231,Clackamas,Clackamas,OR,77,77,43,29.9,10,15,0
A-2779989,2,33.89952,-84.26938,Atlanta,DeKalb,GA,86,,49,30.07,10,6.9,
A-1074821,2,32.524212,-86.207626,Wetumpka,Elmore,AL,67,67,31,29.86,10,3,0
A-286997,2,30.256325,-97.734276,Austin,Travis,TX,71.1,,93,30.14,10,9.2,
A-1638381,3,39.306332,-76.930275,Ellicott City,Howard,MD,33.1,,46,30.21,10,,
A-2079686,3,37.704182,-121.735611,Livermore,Alameda,CA,84.9,,31,29.95,10,9.2,
A-1435473,3,32.431999,-83.757011,Perry,Houston,GA,95,95,29,29.59,10,8,0
A-1249459,2,35.606869,-97.531609,Oklahoma City,Oklahoma,OK,79,79,72,28.66,10,7,0
A-3943130,2,30.323266,-91.792196,Breaux Bridge,St. Martin,LA,46.9,,61,30.35,10,4.6,
A-1072964,2,41.268074,-73.807487,Yorktown Heights,Westchester,NY,51,51,71,29.6,10,6,0
A-1764291,2,39.729336,-105.019295,Denver,Denver,CO,50,,24,30.12,10,15,
A-855456,2,28.36132,-82.611038,Hudson,Pasco,FL,76,76,54,29.82,10,7,0
A-3761864,3,33.51347,-112.11244,Phoenix,Maricopa,AZ,70,70,44,28.73,10,9,0
A-2654349,2,39.576504,-119.745773,Sparks,Washoe,NV,96.8,,8,30.13,10,,
A-3094391,2,38.192371,-85.712682,Louisville,Jefferson,KY,76,76,43,29.66,10,9,0
A-1389502,2,28.532339,-81.419838,Orlando,Orange,FL,75,75,87,29.85,10,3,0
A-3122018,2,25.685462,-80.415318,Miami,Miami-Dade,FL,84,84,74,29.83,10,18,0
A-3003456,2,36.603924,-119.39494,Reedley,Fresno,CA,56,56,60,29.65,10,3,0
A-132753,2,28.209442,-82.739555,Holiday,Pasco,FL,84.9,,72,30.03,10,8.1,
A-53630,3,34.018009,-118.052849,Whittier,Los Angeles,CA,59,,13,30.05,10,12.7,
A-1456873,2,34.101662,-80.826569,Elgin,Richland,SC,63,63,100,29.89,9,9,0
A-316918,3,33.761311,-117.47094,Corona,Riverside,CA,54,,25,30.54,,15,
A-3288773,2,43.067975,-77.646352,Rochester,Monroe,NY,23,23,78,29.84,10,3,0
A-1843676,2,39.632637,-84.203033,Dayton,Montgomery,OH,54,,41,30.35,10,8.1,
A-257785,3,38.834785,-77.098129,Alexandria,Alexandria,VA,81,,72,29.95,10,11.5,
A-1187650,3,44.969879,-93.308052,Minneapolis,Hennepin,MN,62,62,67,28.78,10,9,0
A-827744,2,38.71492,-90.229919,Saint Louis,St. Louis City,MO,42,38,85,29.39,5,6,0
A-827720,2,32.998638,-80.094109,Ladson,Berkeley,SC,76,76,54,30.1,10,9,0
A-472927,2,42.955505,-85.631676,Grand Rapids,Kent,MI,57.9,,100,29.8,0.1,9.2,
A-815794,2,36.837967,-76.158508,Virginia Beach,Virginia Beach,VA,48,48,89,29.93,10,0,0
A-2644727,2,48.022888,-122.185944,Everett,Snohomish,WA,81,,29,29.94,10,9.2,
A-4088702,2,32.197068,-81.481235,Ellabell,Bryan,GA,32.9,25.3,31,30.49,10,9.2,
A-3640020,3,32.92455,-96.78246,Dallas,Dallas,TX,45,41,56,29.74,10,8,0
A-1637872,3,37.826271,-122.301208,Oakland,Alameda,CA,45,43.5,93,30.02,10,3.5,
A-1572251,2,35.59481,-97.602959,Oklahoma City,Oklahoma,OK,37,31,100,29.75,0.2,8.1,
A-843586,2,35.720718,-78.641685,Garner,Wake,NC,53,53,93,29.62,5,6,0.03
A-1514434,2,44.368179,-71.603188,Whitefield,Coos,NH,36,33.3,29,30.35,10,3.5,
A-2329239,3,39.244564,-94.456131,Liberty,Clay,MO,17.6,7.3,79,30.58,10,8.1,
A-1974847,2,30.459518,-91.089859,Baton Rouge,East Baton Rouge,LA,87.1,,65,29.98,8,3.5,0
A-3404182,2,28.486987,-81.417339,Orlando,Orange,FL,70,70,93,29.95,10,8,0
A-3295130,2,27.38834,-82.459159,Sarasota,Sarasota,FL,82,82,67,29.89,10,15,0
A-347530,3,34.036774,-118.02375,Whittier,Los Angeles,CA,57.2,,33,30.17,10,3.5,
A-1226211,2,41.630772,-70.467567,Mashpee,Barnstable,MA,73,73,88,29.93,10,6,0
A-3706311,2,32.808894,-117.152783,San Diego,San Diego,CA,55,55,74,29.58,8,0,0
A-417173,2,41.802509,-87.929283,Hinsdale,DuPage,IL,75,,53,29.46,10,13.8,
A-139043,3,26.098553,-80.250793,Fort Lauderdale,Broward,FL,78.8,,83,29.97,10,6.9,
A-1164278,2,34.153442,-118.366371,North Hollywood,Los Angeles,CA,54,54,66,29.11,10,3,0
A-1224715,2,30.248978,-81.593239,Jacksonville,Duval,FL,84,84,69,30.1,10,6,0
A-1533364,2,36.142895,-95.966499,Tulsa,Tulsa,OK,45,39.7,82,30.26,10,10.4,
A-3932379,2,39.93552,-75.07924,Pennsauken,Camden,NJ,39.9,31.4,35,30.05,10,16.1,
A-4137844,2,34.10378,-81.17994,Irmo,Richland,SC,41,38,93,29.97,10,4.6,
A-3075662,2,38.648969,-121.382864,North Highlands,Sacramento,CA,34,34,93,30.12,10,3,
A-2743277,2,45.01039,-93.1626,Saint Paul,Ramsey,MN,69.1,,96,29.98,5,5.8,
A-2492426,3,41.392967,-73.598709,Brewster,Putnam,NY,48,,86,29.9,7,5.8,0.01
A-1067369,2,42.378929,-88.089752,Round Lake Beach,Lake,IL,50,50,74,29.15,10,6,0
A-3276469,2,25.685827,-80.403672,Miami,Miami-Dade,FL,71,71,87,30.07,10,5,0
A-2234664,3,34.033249,-118.221268,Los Angeles,Los Angeles,CA,55.9,,28,30.05,10,3.5,
A-725635,2,41.556938,-81.570869,Cleveland,Cuyahoga,OH,57,57,94,29.18,10,0,0
A-3002445,2,28.983988,-81.266869,Deland,Volusia,FL,,,,,,,
A-3603969,3,39.76126,-86.14308,Indianapolis,Marion,IN,58,58,87,28.96,10,8,0
