,Sunrise_Sunset,Severity,accidents
0,Day,1,5414
1,Day,2,49779
2,Day,3,9984
3,Day,4,2319
4,Night,1,1309
5,Night,2,18581
6,Night,3,4239
7,Night,4,1478
