,Sunrise_Sunset,Severity,accidents
0,Day,1,24220
1,Day,2,2060768
2,Day,3,767585
3,Day,4,73054
4,Night,1,5089
5,Night,2,945754
6,Night,3,305222
7,Night,4,50708
